fips,case,death
1001.0,2020-03-24,2020-04-06
1003.0,2020-03-14,2020-04-01
1005.0,2020-04-03,2020-04-29
1007.0,2020-03-30,2020-05-08
1009.0,2020-03-25,2020-05-17
1011.0,2020-03-26,2020-05-06
1013.0,2020-03-25,2020-04-26
1015.0,2020-03-18,2020-04-16
1017.0,2020-03-19,2020-03-29
1019.0,2020-03-25,2020-05-22
1021.0,2020-03-25,2020-04-22
1023.0,2020-03-26,2020-05-12
1025.0,2020-04-01,2020-04-20
1027.0,2020-03-25,2020-04-23
1029.0,2020-03-25,2020-04-19
1031.0,2020-04-02,2020-04-21
1033.0,2020-03-25,2020-04-06
1035.0,2020-04-01,2020-05-21
1037.0,2020-03-26,2020-04-13
1039.0,2020-03-27,2020-04-16
1041.0,2020-03-26,2020-05-11
1043.0,2020-03-20,2020-04-01
1045.0,2020-04-01,2020-07-08
1047.0,2020-03-25,2020-04-15
1049.0,2020-03-26,2020-04-16
1051.0,2020-03-13,2020-04-17
1053.0,2020-03-27,2020-04-21
1055.0,2020-03-25,2020-04-01
1057.0,2020-03-30,2020-06-18
1059.0,2020-03-23,2020-04-14
1061.0,2020-04-12,2020-07-20
1063.0,2020-03-27,2020-04-28
1065.0,2020-03-30,2020-04-18
1067.0,2020-04-03,2020-04-24
1069.0,2020-03-23,2020-04-01
1071.0,2020-03-20,2020-03-25
1073.0,2020-03-13,2020-04-01
1075.0,2020-03-20,2020-06-05
1077.0,2020-03-20,2020-03-26
1079.0,2020-03-25,2020-08-05
1081.0,2020-03-15,2020-03-30
1083.0,2020-03-13,2020-07-07
1085.0,2020-03-26,2020-04-22
1087.0,2020-03-29,2020-04-06
1089.0,2020-03-17,2020-03-26
1091.0,2020-03-26,2020-04-07
1093.0,2020-03-21,2020-04-01
1095.0,2020-03-25,2020-04-06
1097.0,2020-03-19,2020-03-27
1099.0,2020-03-28,2020-04-07
1101.0,2020-03-13,2020-03-31
1103.0,2020-03-24,2020-05-12
1105.0,2020-04-09,2020-07-01
1107.0,2020-03-25,2020-04-21
1109.0,2020-03-25,2020-06-05
1111.0,2020-03-27,2020-04-03
1113.0,2020-03-25,2020-07-22
1115.0,2020-03-17,2020-05-06
1117.0,2020-03-15,2020-03-31
1119.0,2020-03-30,2020-04-22
1121.0,2020-03-18,2020-04-13
1123.0,2020-03-23,2020-03-30
1125.0,2020-03-13,2020-04-19
1127.0,2020-03-19,2020-05-19
1129.0,2020-03-20,2020-04-01
1131.0,2020-03-25,2020-04-19
1133.0,2020-03-27,2020-05-14
2013.0,2020-06-09,2021-02-19
2016.0,2020-06-04,2021-11-08
2020.0,2020-03-12,2020-03-27
2050.0,2020-04-07,2020-08-22
2068.0,2020-06-25,2021-09-24
2070.0,2020-05-31,2020-11-24
2090.0,2020-03-16,2020-04-04
2100.0,2020-06-09,2021-10-28
2110.0,2020-03-23,2020-06-26
2122.0,2020-03-18,2020-05-06
2130.0,2020-03-17,2021-01-02
2150.0,2020-04-16,2020-12-04
2158.0,2020-07-03,2020-11-24
2170.0,2020-03-23,2020-04-14
2180.0,2020-04-15,2021-10-15
2185.0,2020-05-28,2020-12-04
2188.0,2020-05-20,2021-01-26
2195.0,2020-04-06,2021-07-23
2198.0,2020-04-11,2020-10-29
2220.0,2020-04-26,2021-06-11
2230.0,2020-10-16,
2240.0,2020-04-03,2020-10-30
2261.0,2020-05-07,2020-10-15
2275.0,2020-06-08,2021-11-29
2290.0,2020-04-02,2020-07-27
2997.0,2020-05-20,2021-11-24
2998.0,2020-07-24,2020-12-09
4001.0,2020-03-21,2020-04-08
4003.0,2020-03-21,2020-05-08
4005.0,2020-03-18,2020-03-24
4007.0,2020-03-28,2020-05-08
4009.0,2020-03-14,2020-05-27
4011.0,2020-03-30,2020-06-01
4012.0,2020-03-26,2020-04-15
4013.0,2020-01-26,2020-03-20
4015.0,2020-03-26,2020-04-05
4017.0,2020-03-17,2020-04-02
4019.0,2020-03-09,2020-03-27
4021.0,2020-03-06,2020-04-09
4023.0,2020-03-19,2020-06-02
4025.0,2020-03-19,2020-04-06
4027.0,2020-03-20,2020-04-13
5001.0,2020-03-29,2020-07-18
5003.0,2020-03-29,2020-06-11
5005.0,2020-03-27,2020-09-04
5007.0,2020-03-19,2020-05-29
5009.0,2020-03-19,2020-06-23
5011.0,2020-03-18,2020-04-19
5013.0,2020-07-02,2020-11-25
5015.0,2020-04-01,2020-05-29
5017.0,2020-03-26,2020-06-11
5019.0,2020-03-19,2020-08-04
5021.0,2020-04-06,2020-06-20
5023.0,2020-03-16,2020-03-24
5025.0,2020-03-16,2020-07-24
5027.0,2020-03-24,2020-05-02
5029.0,2020-03-24,2020-03-28
5031.0,2020-03-19,2020-04-15
5033.0,2020-03-24,2020-06-30
5035.0,2020-03-19,2020-04-06
5037.0,2020-03-24,2020-06-17
5039.0,2020-04-04,2020-08-11
5041.0,2020-03-16,2020-06-30
5043.0,2020-03-25,2020-04-10
5045.0,2020-03-18,2020-04-02
5047.0,2020-04-06,2020-07-03
5049.0,2020-04-23,2020-09-04
5051.0,2020-03-15,2020-05-06
5053.0,2020-03-19,2020-08-26
5055.0,2020-03-19,2020-07-24
5057.0,2020-03-29,2020-04-09
5059.0,2020-03-24,2020-07-04
5061.0,2020-03-26,2020-04-21
5063.0,2020-03-19,2020-08-04
5065.0,2020-04-06,2020-06-02
5067.0,2020-04-13,2020-07-22
5069.0,2020-03-11,2020-04-06
5071.0,2020-03-28,2020-08-05
5073.0,2020-04-03,2020-04-26
5075.0,2020-03-24,2020-04-04
5077.0,2020-04-01,2020-04-14
5079.0,2020-03-16,2020-05-02
5081.0,2020-05-16,2020-07-16
5083.0,2020-04-06,2020-05-03
5085.0,2020-03-26,2020-06-26
5087.0,2020-04-08,2020-07-11
5089.0,2020-04-10,2020-10-13
5091.0,2020-03-31,2020-04-22
5093.0,2020-04-02,2020-05-19
5095.0,2020-04-02,2020-10-21
5097.0,2020-04-28,2020-08-06
5099.0,2020-03-29,2020-06-16
5101.0,2020-03-30,2020-07-30
5103.0,2020-04-02,2020-07-17
